Fertilization,Hydrology_wet_dry,Plants,Plot_number,Sample_ID,Moisture_m3_m3,Temperature_degC,Conductivity_mS_cm,Depth_mL,Depth_cm,AboveGround,BelowGround
MF,D,No plant,1MF,GT_1MF_NP_01,0.109,26.3,0.005,15,5.3,NA,NA
MF,D,grass,1MF,GT_1MF_SG_02,0.272,34.2,0.021,3,0.8,0.68,1.83
MF,D,NP/Practice,1MF,GT_1MF_Pr_NP,0.413,25.7,0.009,15,5.3,NA,NA
MF,D,No plant,3MF,GT_3MF_NP_03,0.331,28.4,0.02,15,5.3,NA,NA
MF,D,grass,3MF,GT_3MF_SG_04,0.357,29.1,0.025,15,5.3,0.5803,0.2637
MF,D,No plant,5MF,GT_5MF_NP_05,0.348,31.1,0.021,13,4.6,NA,NA
MF,D,grass,5MF,GT_5MF_SG_06,0.408,31,0.044,15,5.3,0.001,0.075
MF,D,No plant,7MF,GT_7MF_NP_07,0.394,30.9,0.03,15,5.3,NA,NA
MF,D,grass,7MF,GT_7MF_SG_08,0.363,31.3,0.028,10,3.6,1.01,2.2711
M,D,No plant,1M,GT_1M_NP_09,0.387,26,0.008,14,4.9,NA,NA
M,D,grass,1M,GT_1M_SG_10,0.384,26.3,0.01,12,4.2,0.4,1.3421
M,D,No plant,3M,GT_3M_NP_11,0.259,29.4,0,15,5.3,NA,NA
M,D,grass,3M,GT_3M_SG_12,0.332,29.3,0.011,15,5.3,0.4261,0.02
M,D,No plant,5M,GT_5M_NP_13,0.382,33.6,0.014,15,5.3,NA,NA
M,D,grass,5M,GT_5M_SG_14,0.334,32.6,0.01,13,4.6,0.3205,0.5499
M,D,No plant,7M,GT_7M_NP_15,0.194,32.9,0,15,5.3,NA,NA
M,D,grass,7M,GT_7M_SG_16,0.358,32.7,0.014,15,5.3,2.8376,2.624
MF,W,No plant,2MF,GT_2MF_NP_17,0.362,27.7,0.033,15,5.3,NA,NA
MF,W,grass,2MF,GT_2MF_SG_18,0.334,27.4,0.031,11,3.9,0.53,1.002
MF,W,shrub,2MF,GT_2MF_Pr_Sh,0.346,28.1,0.009,15,5.3,0.47,0.3057
MF,W,No plant,4MF,GT_4MF_NP_19,0.386,28,0.03,15,5.3,NA,NA
MF,W,grass,4MF,GT_4MF_SG_20,0.369,28.5,0.04,13,4.6,0.4621,3.3117
MF,W,No plant,6MF,GT_6MF_NP_21,0.387,30.3,0.023,15,5.3,NA,NA
MF,W,grass,6MF,GT_6MF_SG_22,0.344,29.9,0.025,14,4.9,0.63,2.31
MF,W,No plant,8MF,GT_8MF_NP_23,0.387,31.5,0.034,15,5.3,NA,NA
MF,W,grass,8MF,GT_8MF_SG_24,0.418,31.9,0.036,15,5.3,1.062,1.5802
M,W,No plant,2M,GT_2M_NP_25,0.374,28.1,0.018,15,5.3,NA,NA
M,W,grass,2M,GT_2M_SG_26,0.403,27.8,0.015,14,4.9,1.1,2.38
M,W,No plant,4M,GT_4M_NP_27,0.392,28.5,0.006,15,5.3,NA,NA
M,W,grass,4M,GT_4M_SG_28,0.343,28.3,0.011,13,4.6,0.4851,3.3
M,W,No plant,6M,GT_6M_NP_29,0.386,33.1,0.016,15,5.3,NA,NA
M,W,grass,6M,GT_6M_SG_30,0.375,33.2,0.021,10,3.6,0.4637,0.6235
M,W,No plant,8M,GT_8M_NP_31,0.413,32.3,0.018,15,5.3,NA,NA
M,W,grass,8M,GT_8M_SG_32,0.396,32.4,0.015,15,5.3,0.9512,3.3533